StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID8_TEXT""}"
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a music major or instructor at Brigham Young University?,Are / were you a music major or instructor at a university?,Do you have perfect pitch (absolute pitch)?,Choose the (type of) instrument that you are best at:,"How many years of formal training have you had on that instrument? (Type ""0"" if you have had no formal training in that instrument.)",How many years of formal PIANO training have you had? (Type 0 if you have had no formal piano training.)
2013-07-17 22:56:40,2013-07-17 22:57:08,Survey Preview,,,28,True,2013-07-17 22:57:08,R_9LC3DDMtacCgfad,,,,,40.356292724609,-111.73249816895,,,No,Yes,No,Piano,16,16
2013-07-17 23:03:07,2013-07-17 23:04:33,IP Address,69.169.160.21,,86,True,2013-07-17 23:04:33,R_205Ck6yuMbH5Jdj,,,,,40.21809387207,-111.61329650879,,,No,No,No,Vocal,0,8
2013-07-17 23:04:12,2013-07-17 23:05:05,IP Address,70.187.183.84,,53,True,2013-07-17 23:05:05,R_cw1io9Wal4QXpPL,,,,,33.669494628906,-117.8231048584,,,No,No,No,Brass,1,0
2013-07-17 23:10:54,2013-07-17 23:11:45,IP Address,66.219.245.200,,51,True,2013-07-17 23:11:45,R_1NYUBBLT4naG3NX,,,,,40.233795166016,-111.65850067139,,,Yes,Yes,Yes,Piano,19,19
2013-07-17 23:18:47,2013-07-17 23:19:16,IP Address,216.190.238.162,,29,True,2013-07-17 23:19:16,R_bKHxbhtXT3aVust,,,,,40.842102050781,-111.90560150146,,,No,No,Yes,Piano,0,0
2013-07-18 00:33:16,2013-07-18 00:33:54,IP Address,65.130.226.154,,38,True,2013-07-18 00:33:54,R_6YHianxDDyDDhLT,,,,,40.760803222656,-111.89109802246,,,No,No,No,String,8,0
2013-07-18 00:41:24,2013-07-18 00:42:08,IP Address,69.169.131.51,,44,True,2013-07-18 00:42:08,R_3RfwEGbSmwDKA4d,,,,,40.233795166016,-111.65850067139,,,No,No,No,String,4,5
2013-07-18 01:04:58,2013-07-18 01:08:01,IP Address,66.91.195.72,,183,True,2013-07-18 01:08:01,R_8cbrNAKMaai1Zbv,,,,,21.566604614258,-157.8908996582,,,Yes,Yes,Yes,String,6,3
2013-07-18 02:00:33,2013-07-18 02:01:18,IP Address,76.102.204.142,,45,True,2013-07-18 02:01:18,R_cvf4Iih6VzRXUIR,,,,,37.871597290039,-122.27279663086,,,No,No,No,Piano,8,11
2013-07-18 04:11:06,2013-07-18 04:12:10,IP Address,71.235.228.85,,64,True,2013-07-18 04:12:10,R_bNKr6FjbunV489T,,,,,41.85270690918,-72.736198425293,,,No,No,No,Percussion,4,0
2013-07-18 13:52:14,2013-07-18 13:53:00,IP Address,128.187.97.26,,46,True,2013-07-18 13:53:00,R_eKvH0csKiMrQPA1,,,,,40.356292724609,-111.73249816895,,,No,No,No,String,0,0
2013-07-18 14:06:57,2013-07-18 14:07:50,IP Address,65.130.28.150,,53,True,2013-07-18 14:07:50,R_9n0Kl781JDyLZQ1,,,,,40.760803222656,-111.89109802246,,,Yes,Yes,Yes,Piano,16,16
2013-07-18 14:41:42,2013-07-18 14:44:26,IP Address,109.68.196.104,,164,True,2013-07-18 14:44:26,R_2soogOQ6lhPQkxn,,,,,51.514205932617,-0.093093872070312,,,Yes,Yes,No,Vocal,15,10
2013-07-18 14:55:22,2013-07-18 14:56:25,IP Address,65.130.223.18,,63,True,2013-07-18 14:56:25,R_07cr99BFNqhjTtX,,,,,40.60969543457,-111.93910217285,,,Yes,Yes,No,Woodwind,19,1
2013-07-18 15:02:07,2013-07-18 15:03:10,IP Address,174.52.81.92,,63,True,2013-07-18 15:03:10,R_77YYOAhXrZ1kJ1j,,,,,40.393005371094,-111.78379821777,,,Yes,Yes,No,String,20,4
2013-07-18 15:13:50,2013-07-18 15:14:34,IP Address,128.187.97.20,,44,True,2013-07-18 15:14:34,R_9uGyOytdiI3wMQd,,,,,40.356292724609,-111.73249816895,,,Yes,Yes,No,Woodwind,5,9
2013-07-18 15:14:43,2013-07-18 15:15:26,IP Address,69.169.139.88,,43,True,2013-07-18 15:15:26,R_b7KdeMI0XKWMeQB,,,,,40.21809387207,-111.61329650879,,,Yes,Yes,No,Woodwind,10,2
2013-07-18 15:19:25,2013-07-18 15:20:31,IP Address,67.161.214.115,,66,True,2013-07-18 15:20:31,R_56GRtRi49lfW1hP,,,,,40.296905517578,-111.69460296631,,,Yes,Yes,No,Woodwind,10,0.5
2013-07-18 15:52:16,2013-07-18 15:52:52,IP Address,75.162.98.198,,36,True,2013-07-18 15:52:52,R_51Ptlvrg8JSaHoF,,,,,40.559799194336,-111.96649932861,,,Yes,Yes,No,Piano,10,10
2013-07-18 15:52:08,2013-07-18 15:53:36,IP Address,199.192.98.120,,88,True,2013-07-18 15:53:36,R_2txsDahRWahu4O9,,,,,40.657592773438,-111.88400268555,,,Yes,Yes,No,Brass,52,2
2013-07-18 15:57:55,2013-07-18 15:58:44,IP Address,66.87.112.228,,49,True,2013-07-18 15:58:44,R_4ImZVwkbW6KYJlb,,,,,45.523406982422,-122.6762008667,,,Yes,No,No,Brass,7,6
2013-07-18 16:09:31,2013-07-18 16:10:44,IP Address,70.208.0.186,,73,True,2013-07-18 16:10:44,R_8C8TOw2TGDB0GkB,,,,,38,-97,,,Yes,Yes,Yes,Brass,7,0
2013-07-18 16:17:42,2013-07-18 16:18:47,IP Address,173.8.88.102,,65,True,2013-07-18 16:18:47,R_5oG8MaQuTOxqvk1,,,,,40.576507568359,-111.89379882812,,,Yes,Yes,No,Woodwind,7,1.5
2013-07-18 16:26:27,2013-07-18 16:27:11,IP Address,76.27.43.12,,44,True,2013-07-18 16:27:11,R_01IT4YEG70IA66F,,,,,40.233795166016,-111.65850067139,,,Yes,Yes,No,Piano,28,28
2013-07-18 17:08:00,2013-07-18 17:08:52,IP Address,207.135.129.4,,52,True,2013-07-18 17:08:52,R_5uVSOSmeM1gFW6x,,,,,40.760803222656,-111.89109802246,,,Yes,Yes,Yes,Brass,10,7
2013-07-18 18:11:57,2013-07-18 18:13:20,IP Address,209.213.47.65,,83,True,2013-07-18 18:13:20,R_doFlFdzHbsizwnX,,,,,40.760803222656,-111.89109802246,,,Yes,Yes,No,Percussion,30,5
2013-07-18 19:31:16,2013-07-18 19:32:14,IP Address,174.52.95.34,,58,True,2013-07-18 19:32:14,R_b7TaAdzS7OiWlgh,,,,,40.296905517578,-111.69460296631,,,Yes,Yes,No,Brass,12,1
2013-07-18 20:13:36,2013-07-18 20:14:36,IP Address,76.27.43.15,,60,True,2013-07-18 20:14:36,R_0wk27ZgntyaKktf,,,,,40.233795166016,-111.65850067139,,,Yes,No,No,Vocal,10,3
2013-07-18 20:30:38,2013-07-18 20:31:25,IP Address,69.169.188.206,,47,True,2013-07-18 20:31:25,R_7XauwZ1jSQlk6IB,,,,,40.339294433594,-111.57089996338,,,Yes,Yes,No,Piano,15,15
2013-07-18 20:54:40,2013-07-18 20:56:27,IP Address,69.169.140.155,,107,True,2013-07-18 20:56:27,R_0vmEJQhkQRz1u4t,,,,,40.339294433594,-111.57089996338,,,Yes,Yes,No,Vocal,8,12
2013-07-18 21:15:05,2013-07-18 21:16:47,IP Address,24.10.211.93,,102,True,2013-07-18 21:16:47,R_8IjuOx3v25zyFF3,,,,,40.324493408203,-111.96179962158,,,Yes,Yes,No,Vocal,8,4
2013-07-18 21:30:37,2013-07-18 21:31:53,IP Address,69.169.152.251,,76,True,2013-07-18 21:31:53,R_6EeH7M6WfnY2zRz,,,,,40.21809387207,-111.61329650879,,,Yes,Yes,No,Brass,8,7
2013-07-18 22:57:41,2013-07-18 22:58:52,IP Address,174.232.192.16,,71,True,2013-07-18 22:58:52,R_3drGKS57HNJoyup,,,,,38,-97,,,Yes,Yes,No,Vocal,20,12
2013-07-18 23:37:04,2013-07-18 23:37:41,IP Address,75.146.18.102,,37,True,2013-07-18 23:37:41,R_1ERVmfwGK2qgWnX,,,,,37.505996704102,-77.649200439453,,,Yes,Yes,No,Vocal,5,3
2013-07-19 06:34:19,2013-07-19 06:34:58,IP Address,67.199.174.173,,39,True,2013-07-19 06:34:58,R_3wQ6Z3W18MyEdXT,,,,,40.027801513672,-111.55470275879,,,Yes,Yes,Yes,String,20,1
2013-07-19 10:40:21,2013-07-19 10:41:17,IP Address,67.222.227.27,,56,True,2013-07-19 10:41:17,R_bq1vsKDr1AS9MVL,,,,,40.296798706055,-111.67610168457,,,Yes,Yes,No,Vocal,30,10
2013-07-19 13:25:09,2013-07-19 13:26:19,IP Address,128.187.97.25,,70,True,2013-07-19 13:26:19,R_beaM090FWo1cUiF,,,,,40.356292724609,-111.73249816895,,,Yes,Yes,No,Brass,13,6
2013-07-19 14:02:53,2013-07-19 14:03:36,IP Address,69.169.163.227,,43,True,2013-07-19 14:03:36,R_3TTViwqv2QdY8qV,,,,,40.21809387207,-111.61329650879,,,Yes,Yes,Yes,Brass,7,2
2013-07-19 14:19:46,2013-07-19 14:20:15,IP Address,128.187.97.21,,29,True,2013-07-19 14:20:15,R_ctM8D6Vf8MmUG9v,,,,,40.356292724609,-111.73249816895,,,Yes,Yes,No,Brass,7,2
2013-07-19 18:44:06,2013-07-19 18:44:42,IP Address,75.68.219.11,,36,True,2013-07-19 18:44:42,R_entWgOiSFPmgBYV,,,,,44.809097290039,-73.09220123291,,,Yes,Yes,Yes,Piano,25,25
2013-07-19 21:08:10,2013-07-19 21:12:25,IP Address,199.36.244.16,,255,True,2013-07-19 21:12:26,R_b26FNBsNKTwtKSh,,,,,36.175003051758,-115.13719940186,,,Yes,Yes,No,Piano,11,11
2013-07-20 02:01:39,2013-07-20 02:02:35,IP Address,180.168.176.99,,56,True,2013-07-20 02:02:35,R_0H6ZRmCVNsnZLLL,,,,,31.045593261719,121.3996887207,,,Yes,Yes,Yes,Piano,10,10
2013-07-20 13:24:06,2013-07-20 13:25:00,IP Address,184.11.46.155,,54,True,2013-07-20 13:25:00,R_42PltLI5G5sOJZb,,,,,39.29020690918,-112.56559753418,,,Yes,Yes,No,Piano,12,12
2013-07-20 14:30:23,2013-07-20 14:31:38,IP Address,66.219.203.111,,75,True,2013-07-20 14:31:38,R_9NMTKtRTMuikv1r,,,,,40.339294433594,-111.57089996338,,,Yes,Yes,No,Woodwind,9,8
2013-07-20 20:05:41,2013-07-20 20:06:33,IP Address,71.36.86.44,,52,True,2013-07-20 20:06:33,R_74jw2yirmzYL98p,,,,,40.760803222656,-111.89109802246,,,Yes,Yes,Yes,Piano,55,55
2013-07-21 21:26:12,2013-07-21 21:26:56,IP Address,71.195.210.84,,44,True,2013-07-21 21:26:57,R_bCUC1zWQ1Ds7bRH,,,,,40.22639465332,-111.69699859619,,,Yes,Yes,No,Piano,,
2013-07-25 15:35:28,2013-07-25 15:36:10,IP Address,160.7.250.236,,42,True,2013-07-25 15:36:10,R_9oVuVpa8shCUkCh,,,,,40.027801513672,-111.55470275879,,,Yes,Yes,No,Vocal,15,10
2013-07-18 20:57:34,2013-07-18 20:59:30,IP Address,66.231.217.69,,116,False,2013-07-25 20:59:33,R_cAoTlziXFzrx8ZD,,,,,,,,,,,,,,
